ORCA_URN	AnalyzedText	ExemplarUrn	Analysis	TextDeformation	Sequence
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:28	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@παρ'[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.25	urn:cite2:fufolio:tokenTypes.v1:word	παρ'	28
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:29	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@αὐτοῖς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.26	urn:cite2:fufolio:tokenTypes.v1:word	αὐτοῖς	29
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:30	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@οὐ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.27	urn:cite2:fufolio:tokenTypes.v1:word	οὐ	30
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:31	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τίκτουσιν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.28	urn:cite2:fufolio:tokenTypes.v1:word	τίκτουσιν	31
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:32	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@αἱ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.29	urn:cite2:fufolio:tokenTypes.v1:word	αἱ	32
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:33	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@γυναῖκες[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.30	urn:cite2:fufolio:tokenTypes.v1:word	γυναῖκες	33
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:34	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.31	urn:cite2:fufolio:tokenTypes.v1:punc	,	34
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:35	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡγεμονικῶς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.32	urn:cite2:fufolio:tokenTypes.v1:word	ἡγεμονικῶς	35
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:36	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@σφόδρα[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.33	urn:cite2:fufolio:tokenTypes.v1:word	σφόδρα	36
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:37	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@νουθετήσας[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.34	urn:cite2:fufolio:tokenTypes.v1:word	νουθετήσας	37
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:38	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τοὺς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.35	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	38
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:39	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τὸ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.36	urn:cite2:fufolio:tokenTypes.v1:word	τὸ	39
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:40	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φύσει[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.37	urn:cite2:fufolio:tokenTypes.v1:word	φύσει	40
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:41	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλητικὸν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.38	urn:cite2:fufolio:tokenTypes.v1:word	φιλητικὸν	41
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:42	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.39	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	42
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:43	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡμῖν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.40	urn:cite2:fufolio:tokenTypes.v1:word	ἡμῖν	43
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:44	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.41	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	44
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:45	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλόστοργον[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.42	urn:cite2:fufolio:tokenTypes.v1:word	φιλόστοργον	45
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:46	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@εἰς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.43	urn:cite2:fufolio:tokenTypes.v1:word	εἰς	46
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:47	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@θηρία[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.44	urn:cite2:fufolio:tokenTypes.v1:word	θηρία	47
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:48	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καταναλίσκοντας[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.45	urn:cite2:fufolio:tokenTypes.v1:word	καταναλίσκοντας	48
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:49	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.46	urn:cite2:fufolio:tokenTypes.v1:punc	,	49
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:50	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἀνθρώποις[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.47	urn:cite2:fufolio:tokenTypes.v1:word	ἀνθρώποις	50
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:51	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὀφειλόμενον[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.48	urn:cite2:fufolio:tokenTypes.v1:word	ὀφειλόμενον	51
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:52	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@.[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.49	urn:cite2:fufolio:tokenTypes.v1:punc	.	52
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:53	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἆρ'[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.1	urn:cite2:fufolio:tokenTypes.v1:word	ἆρ'	53
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:54	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@οὖν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.2	urn:cite2:fufolio:tokenTypes.v1:word	οὖν	54
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:55	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.3	urn:cite2:fufolio:tokenTypes.v1:punc	,	55
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:56	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἐπεὶ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.4	urn:cite2:fufolio:tokenTypes.v1:word	ἐπεὶ	56
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:57	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κυνῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.5	urn:cite2:fufolio:tokenTypes.v1:word	{κυνῶν}	57
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:58	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τε[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.6	urn:cite2:fufolio:tokenTypes.v1:word	{τε}	58
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:59	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.7	urn:cite2:fufolio:tokenTypes.v1:word	{καὶ}	59
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:60	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πιθήκων[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.8	urn:cite2:fufolio:tokenTypes.v1:word	{πιθήκων}	60
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:61	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἔκγονα[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.9	urn:cite2:fufolio:tokenTypes.v1:word	{ἔκγονα}	61
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:62	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλομαθές[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.10	urn:cite2:fufolio:tokenTypes.v1:word	φιλομαθές	62
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:63	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τι[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.11	urn:cite2:fufolio:tokenTypes.v1:word	τι	63
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:64	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κέκτηται[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.12	urn:cite2:fufolio:tokenTypes.v1:word	κέκτηται	64
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:65	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.13	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	65
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:66	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλοθέαμον[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.14	urn:cite2:fufolio:tokenTypes.v1:word	φιλοθέαμον	66
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:67	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡμῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.15	urn:cite2:fufolio:tokenTypes.v1:word	ἡμῶν	67
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:68	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.16	urn:cite2:fufolio:tokenTypes.v1:word	ἡ	68
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:69	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ψυχὴ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.17	urn:cite2:fufolio:tokenTypes.v1:word	ψυχὴ	69
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:70	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φύσει[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.18	urn:cite2:fufolio:tokenTypes.v1:word	φύσει	70
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:71	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[2]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.19	urn:cite2:fufolio:tokenTypes.v1:punc	,	71
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:72	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@λόγον[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.20	urn:cite2:fufolio:tokenTypes.v1:word	λόγον	72
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:73	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἔχει[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.21	urn:cite2:fufolio:tokenTypes.v1:word	ἔχει	73
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:74	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ψέγειν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.22	urn:cite2:fufolio:tokenTypes.v1:word	ψέγειν	74
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:75	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τοὺς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.23	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	75
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:76	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καταχρωμένους[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.24	urn:cite2:fufolio:tokenTypes.v1:word	καταχρωμένους	76
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:77	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τούτῳ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.25	urn:cite2:fufolio:tokenTypes.v1:word	τούτῳ	77
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:78	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πρὸς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.26	urn:cite2:fufolio:tokenTypes.v1:word	πρὸς	78
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:79	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τὰ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.27	urn:cite2:fufolio:tokenTypes.v1:word	τὰ	79
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:80	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@μηδεμιᾶς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.28	urn:cite2:fufolio:tokenTypes.v1:word	μηδεμιᾶς	80
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:81	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἄξια[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.29	urn:cite2:fufolio:tokenTypes.v1:word	ἄξια	81
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:82	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@σπουδῆς[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.30	urn:cite2:fufolio:tokenTypes.v1:word	σπουδῆς	82
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:83	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἀκούσματα[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.31	urn:cite2:fufolio:tokenTypes.v1:word	ἀκούσματα	83
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:84	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.32	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	84
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:85	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@θεάματα[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.33	urn:cite2:fufolio:tokenTypes.v1:word	θεάματα	85
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:86	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[3]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.34	urn:cite2:fufolio:tokenTypes.v1:punc	,	86
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:87	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.35	urn:cite2:fufolio:tokenTypes.v1:word	τῶν	87
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:88	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@δὲ[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.36	urn:cite2:fufolio:tokenTypes.v1:word	δὲ	88
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:89	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καλῶν[1]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.37	urn:cite2:fufolio:tokenTypes.v1:word	καλῶν	89
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:90	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[4]	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.38	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	90
