Urn	AnalyzedText	TokenType	TextDeformation	EditorialStatus	DiscourseLevel	ExemplarUrn	Sequence
urn:cite2:fufolio:syntaxToken0007_0012.v1:6	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἔκγονα[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἔκγονα	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.7	10
urn:cite2:fufolio:syntaxToken0007_0012.v1:7	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[1]	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.8	11
urn:cite2:fufolio:syntaxToken0007_0012.v1:8	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@πιθήκων[1]	urn:cite2:fufolio:tokenTypes.v1:word	πιθήκων	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.9	12
urn:cite2:fufolio:syntaxToken0007_0012.v1:9	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[2]	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.10	13
urn:cite2:fufolio:syntaxToken0007_0012.v1:10	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τοῖς[1]	urn:cite2:fufolio:tokenTypes.v1:word	τοῖς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.11	14
urn:cite2:fufolio:syntaxToken0007_0012.v1:11	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@κόλποις[1]	urn:cite2:fufolio:tokenTypes.v1:word	κόλποις	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.12	15
urn:cite2:fufolio:syntaxToken0007_0012.v1:12	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@περιφέροντας[1]	urn:cite2:fufolio:tokenTypes.v1:word	περιφέροντας	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.13	16
urn:cite2:fufolio:syntaxToken0007_0012.v1:13	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[2]	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.14	17
urn:cite2:fufolio:syntaxToken0007_0012.v1:14	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἀγαπῶντας[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἀγαπῶντας	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.15	18
urn:cite2:fufolio:syntaxToken0007_0012.v1:15	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἰδὼν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἰδὼν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.16	19
urn:cite2:fufolio:syntaxToken0007_0012.v1:16	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὁ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ὁ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.17	20
urn:cite2:fufolio:syntaxToken0007_0012.v1:17	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Καῖσαρ[1]	urn:cite2:fufolio:tokenTypes.v1:word	Καῖσαρ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.18	21
urn:cite2:fufolio:syntaxToken0007_0012.v1:18	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὡς[1]	urn:cite2:fufolio:tokenTypes.v1:word	ὡς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.19	22
urn:cite2:fufolio:syntaxToken0007_0012.v1:19	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἔοικεν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἔοικεν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.20	23
urn:cite2:fufolio:syntaxToken0007_0012.v1:20	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἠρώτησεν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἠρώτησεν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.21	24
urn:cite2:fufolio:syntaxToken0007_0012.v1:21	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[1]	urn:cite2:fufolio:tokenTypes.v1:punc	,	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.22	25
urn:cite2:fufolio:syntaxToken0007_0012.v1:22	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@εἰ[1]	urn:cite2:fufolio:tokenTypes.v1:word	εἰ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.23	26
urn:cite2:fufolio:syntaxToken0007_0012.v1:23	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@παιδία[1]	urn:cite2:fufolio:tokenTypes.v1:word	παιδία	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.24	27
urn:cite2:fufolio:syntaxToken0007_0012.v1:24	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@παρ'[1]	urn:cite2:fufolio:tokenTypes.v1:word	παρ'	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.25	28
urn:cite2:fufolio:syntaxToken0007_0012.v1:25	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@αὐτοῖς[1]	urn:cite2:fufolio:tokenTypes.v1:word	αὐτοῖς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.26	29
urn:cite2:fufolio:syntaxToken0007_0012.v1:26	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@οὐ[1]	urn:cite2:fufolio:tokenTypes.v1:word	οὐ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.27	30
urn:cite2:fufolio:syntaxToken0007_0012.v1:27	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τίκτουσιν[1]	urn:cite2:fufolio:tokenTypes.v1:word	τίκτουσιν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.28	31
urn:cite2:fufolio:syntaxToken0007_0012.v1:28	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@αἱ[1]	urn:cite2:fufolio:tokenTypes.v1:word	αἱ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.29	32
urn:cite2:fufolio:syntaxToken0007_0012.v1:29	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@γυναῖκες[1]	urn:cite2:fufolio:tokenTypes.v1:word	γυναῖκες	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.30	33
urn:cite2:fufolio:syntaxToken0007_0012.v1:30	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[2]	urn:cite2:fufolio:tokenTypes.v1:punc	,	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.31	34
urn:cite2:fufolio:syntaxToken0007_0012.v1:31	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡγεμονικῶς[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἡγεμονικῶς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.32	35
urn:cite2:fufolio:syntaxToken0007_0012.v1:32	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@σφόδρα[1]	urn:cite2:fufolio:tokenTypes.v1:word	σφόδρα	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.33	36
urn:cite2:fufolio:syntaxToken0007_0012.v1:33	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@νουθετήσας[1]	urn:cite2:fufolio:tokenTypes.v1:word	νουθετήσας	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.34	37
urn:cite2:fufolio:syntaxToken0007_0012.v1:34	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τοὺς[1]	urn:cite2:fufolio:tokenTypes.v1:word	τοὺς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.35	38
urn:cite2:fufolio:syntaxToken0007_0012.v1:35	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τὸ[1]	urn:cite2:fufolio:tokenTypes.v1:word	τὸ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.36	39
urn:cite2:fufolio:syntaxToken0007_0012.v1:36	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φύσει[1]	urn:cite2:fufolio:tokenTypes.v1:word	φύσει	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.37	40
urn:cite2:fufolio:syntaxToken0007_0012.v1:37	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλητικὸν[1]	urn:cite2:fufolio:tokenTypes.v1:word	φιλητικὸν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.38	41
urn:cite2:fufolio:syntaxToken0007_0012.v1:38	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[3]	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.39	42
urn:cite2:fufolio:syntaxToken0007_0012.v1:39	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἡμῖν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἡμῖν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.40	43
urn:cite2:fufolio:syntaxToken0007_0012.v1:40	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καὶ[3]	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.41	44
urn:cite2:fufolio:syntaxToken0007_0012.v1:41	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@φιλόστοργον[1]	urn:cite2:fufolio:tokenTypes.v1:word	φιλόστοργον	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.42	45
urn:cite2:fufolio:syntaxToken0007_0012.v1:42	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@εἰς[1]	urn:cite2:fufolio:tokenTypes.v1:word	εἰς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.43	46
urn:cite2:fufolio:syntaxToken0007_0012.v1:43	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@θηρία[1]	urn:cite2:fufolio:tokenTypes.v1:word	θηρία	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.44	47
urn:cite2:fufolio:syntaxToken0007_0012.v1:44	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@καταναλίσκοντας[1]	urn:cite2:fufolio:tokenTypes.v1:word	καταναλίσκοντας	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.45	48
urn:cite2:fufolio:syntaxToken0007_0012.v1:45	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@,[3]	urn:cite2:fufolio:tokenTypes.v1:punc	,	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.46	49
urn:cite2:fufolio:syntaxToken0007_0012.v1:46	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἀνθρώποις[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἀνθρώποις	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.47	50
urn:cite2:fufolio:syntaxToken0007_0012.v1:47	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ὀφειλόμενον[1]	urn:cite2:fufolio:tokenTypes.v1:word	ὀφειλόμενον	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.48	51
urn:cite2:fufolio:syntaxToken0007_0012.v1:48	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@.[1]	urn:cite2:fufolio:tokenTypes.v1:punc	.	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.49	52
urn:cite2:fufolio:syntaxToken0007_0012.v1:0	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἆρ'[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἆρ'	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.1	53
urn:cite2:fufolio:syntaxToken0007_0012.v1:1	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@οὖν[1]	urn:cite2:fufolio:tokenTypes.v1:word	οὖν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.2	54
urn:cite2:fufolio:syntaxToken0007_0012.v1:2	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[1]	urn:cite2:fufolio:tokenTypes.v1:punc	,	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.3	55
urn:cite2:fufolio:syntaxToken0007_0012.v1:3	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἐπεὶ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἐπεὶ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.4	56
urn:cite2:fufolio:syntaxToken0007_0012.v1:4	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κυνῶν[1]	urn:cite2:fufolio:tokenTypes.v1:other	{κυνῶν}	urn:cite2:fufolio:editorialStatus.v1:del	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.5	57
urn:cite2:fufolio:syntaxToken0007_0012.v1:5	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τε[1]	urn:cite2:fufolio:tokenTypes.v1:other	{τε}	urn:cite2:fufolio:editorialStatus.v1:del	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.6	58
urn:cite2:fufolio:syntaxToken0007_0012.v1:6	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[1]	urn:cite2:fufolio:tokenTypes.v1:other	{καὶ}	urn:cite2:fufolio:editorialStatus.v1:del	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.7	59
urn:cite2:fufolio:syntaxToken0007_0012.v1:7	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πιθήκων[1]	urn:cite2:fufolio:tokenTypes.v1:other	{πιθήκων}	urn:cite2:fufolio:editorialStatus.v1:del	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.8	60
urn:cite2:fufolio:syntaxToken0007_0012.v1:8	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἔκγονα[1]	urn:cite2:fufolio:tokenTypes.v1:other	{ἔκγονα}	urn:cite2:fufolio:editorialStatus.v1:del	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.9	61
urn:cite2:fufolio:syntaxToken0007_0012.v1:9	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλομαθές[1]	urn:cite2:fufolio:tokenTypes.v1:word	φιλομαθές	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.10	62
urn:cite2:fufolio:syntaxToken0007_0012.v1:10	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τι[1]	urn:cite2:fufolio:tokenTypes.v1:word	τι	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.11	63
urn:cite2:fufolio:syntaxToken0007_0012.v1:11	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κέκτηται[1]	urn:cite2:fufolio:tokenTypes.v1:word	κέκτηται	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.12	64
urn:cite2:fufolio:syntaxToken0007_0012.v1:12	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[2]	urn:cite2:fufolio:tokenTypes.v1:word	καὶ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.13	65
urn:cite2:fufolio:syntaxToken0007_0012.v1:13	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φιλοθέαμον[1]	urn:cite2:fufolio:tokenTypes.v1:word	φιλοθέαμον	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.14	66
urn:cite2:fufolio:syntaxToken0007_0012.v1:14	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡμῶν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἡμῶν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.15	67
urn:cite2:fufolio:syntaxToken0007_0012.v1:15	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἡ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἡ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.16	68
urn:cite2:fufolio:syntaxToken0007_0012.v1:16	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ψυχὴ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ψυχὴ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.17	69
urn:cite2:fufolio:syntaxToken0007_0012.v1:17	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φύσει[1]	urn:cite2:fufolio:tokenTypes.v1:word	φύσει	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.2.18	70
